timestamp,mcpd_best,smooth_distance,mean,std,var,smooth_mean,smooth_std,smooth_var,mcpd_best_mean,mcpd_best_std,mcpd_best_var,mcpd_high_precision_mean,mcpd_high_precision_std,mcpd_high_precision_var,mcpd_ifft_mean,mcpd_ifft_std,mcpd_ifft_var,mcpd_phase_slope_mean,mcpd_phase_slope_std,mcpd_phase_slope_var,mcpd_rssi_openspace_mean,mcpd_rssi_openspace_std,mcpd_rssi_openspace_var
2023-10-05 13:01:15.187436,507.0,467.48,486.7278225806452,166.61300870415968,27759.894669452395,467.4845360824742,109.31578331840622,11949.94048251674,467.4845360824742,109.31578331840622,11949.94048251674,544.4634146341464,254.93519956762378,64991.95597858417,471.1807228915663,109.66093906265773,12025.521556103933,445.23493975903614,38.13366925723864,1454.1767310204673,598.4096385542168,161.76131726256426,26166.723762519967
2023-10-05 13:02:00.267026,377.0,449.03,451.54020100502515,151.5269297655724,22960.410444180707,449.03333333333336,107.60708877929723,11579.285555555554,460.34615384615387,103.61700025390311,10736.48274161736,489.3692307692308,229.21777144358185,52540.78674556213,458.97014925373134,98.68704797130755,9739.133437291159,407.410447761194,63.97929500511668,4093.3501893517487,558.3432835820895,131.73317131625956,17353.628425038987
2023-10-05 13:02:45.390498,256.0,424.68,359.27456647398844,57.69198700596512,3328.3653646964476,424.68,88.63974428362633,7857.004266666666,394.3766233766234,52.900307848032384,2798.4425704165965,364.7368421052632,59.96330056450449,3595.597414589105,392.36206896551727,54.45108474770856,2964.9206302021403,320.8189655172414,28.744519459017667,826.2473989298453,423.2068965517241,79.84915922099395,6375.888228299643
2023-10-05 13:03:30.797032,381.0,391.11,356.86096256684493,47.65550874255743,2271.0475135119677,391.1066666666667,43.21930844220234,1867.9086222222222,387.6081081081081,29.184324544581248,851.7247991234475,354.08196721311475,50.93206503362188,2594.075248589089,390.58730158730157,29.17361001470331,851.0995212899973,325.8253968253968,35.6380791897458,1270.072688334593,426.95238095238096,72.15996968187969,5207.061224489797
2023-10-05 13:04:15.910498,352.0,390.61,352.8168604651163,66.18494968315625,4380.447564561924,390.6066666666667,42.69159115745811,1822.5719555555559,389.2238805970149,16.470526272321578,271.2782356872354,337.30357142857144,104.54884703245813,10930.461415816328,390.0,16.340134638368166,266.9999999999992,330.61206896551727,7.857591927034355,61.741750891795476,432.1034482758621,63.598061577262364,4044.7134363852556
2023-10-05 13:05:02.137124,381.0,390.49,345.5457516339869,99.24308901503169,9849.190717245503,390.4866666666667,16.201126161131175,262.4764888888889,392.258064516129,14.970870084688192,224.12695109261185,306.1372549019608,159.10324920060535,25313.843906189926,393.5098039215686,14.362768520358308,206.28911956939558,336.9901960784314,10.033028884090996,100.66166858900422,414.1764705882353,59.42888512788417,3531.7923875432525
2023-10-05 13:05:49.620591,381.0,388.45,355.3867924528302,42.1142472989925,1773.6098255606971,388.4533333333333,14.633107059753996,214.12782222222222,386.2463768115942,13.051076691772781,170.33060281453479,352.8679245283019,55.20118871288062,3047.171235315059,388.1132075471698,13.69018430538516,187.42114631541415,325.1792452830189,9.817242407468914,96.37824848700605,407.77358490566036,59.263288935481285,3512.1374154503387
2023-10-05 13:06:35.000112,410.0,389.37,356.51229508196724,30.732549567670418,944.4896029293193,389.3666666666667,24.408309149868526,595.7655555555556,391.0925925925926,36.16334778346847,1307.7877229080934,352.175,20.04605634532638,401.844375,391.219512195122,15.095649825843358,227.8786436644846,326.0365853658537,6.2287592664037215,38.79744199881022,407.4634146341463,44.67994451651445,1996.2974419988097
2023-10-05 13:07:20.172564,388.0,388.35,351.679012345679,38.10498077047626,1451.9895595183655,388.35333333333335,24.82582973884704,616.3218222222222,386.3333333333333,15.520595635763755,240.88888888888889,356.5833333333333,11.722189310117042,137.40972222222223,388.12280701754383,13.613809005176464,185.33579562942376,311.10526315789474,28.82748701130378,831.0240073868882,401.7894736842105,47.21274613881939,2229.0433979686054
2023-10-05 13:08:05.211069,381.0,386.07,345.7586206896552,49.53901643978855,2454.1141498216402,386.06666666666666,24.76224725037873,613.168888888889,382.64285714285717,15.104905271642924,228.15816326530617,342.7631578947368,65.77050779255744,4325.759695290859,384.38461538461536,12.487153161663382,155.9289940828398,310.05128205128204,12.366100722309083,152.9204470742932,421.9230769230769,54.20823317890649,2938.5325443786983
2023-10-05 13:08:50.548534,381.0,378.27,346.8071065989848,32.59170350432008,1062.2191373135097,378.26666666666665,17.348454942411696,300.96888888888884,375.60674157303373,17.79320535480845,316.5981567983841,352.63492063492066,23.185450820624688,537.565129755606,376.25373134328356,17.222289690876767,296.6072621964801,311.8805970149254,14.221879704530634,202.26186233014036,414.3134328358209,55.616815065826856,3093.230118066385
2023-10-05 13:09:38.234013,381.0,378.38,352.0433673469388,36.14514259978695,1306.4713335589333,378.38,19.022677694443193,361.86226666666664,381.4074074074074,18.833105719881715,354.68587105624135,366.4375,14.798516606403494,218.99609375,383.1363636363636,18.20413403235013,331.39049586776815,306.99242424242425,11.781306592740025,138.79918503213958,442.3333333333333,76.79948968685675,5898.161616161616
2023-10-05 13:10:23.505626,381.0,382.57,348.787037037037,40.878444678938045,1671.0472393689984,382.56666666666666,17.283678877934392,298.7255555555555,383.39285714285717,15.594960920837504,243.20280612244895,352.8333333333333,46.935830899454864,2202.972222222222,381.9166666666667,14.744820182770008,217.40972222222175,311.6111111111111,9.836942212840606,96.76543209876543,381.22222222222223,48.43214675715059,2345.6728395061727
